Code,distance_to_road
51827,2201.299482052382
51931,468.22293701122913
51958,8842.327607614656
52064,310.2109357282791
52065,96.8613425710893
52115,1665.949362683077
52117,1161.8758752718154
52167,16493.284357893364
52177,19001.60271145473
52181,20910.426793833092
52268,23995.54730459256
52269,24656.54639605702
52380,24690.25215111636
52475,9325.11049085884
52487,1004.0014716505544
53145,10324.82410064213
53163,1343.23870142681
53300,11908.132482815916
53304,11275.653853918066
53315,11364.677294856489
53338,1910.0095844795353
53392,10318.810117286106
53401,12169.540957127325
53402,11875.386364585509
53545,247.97176743702232
53547,1857.8109396558111
53548,147.67710994591113
53549,1138.5605413201522
53683,5804.604616020154
53717,2836.284879525464
53730,1247.5104214141763
53753,6893.517125747073
54025,5392.450121326519
54038,4364.4289751142505
54039,5463.4829522706405
54088,4617.901572291307
54132,253.26430499088312
54177,13770.715135732693
54655,5492.839820530881
54720,3560.387255552983
L380.1,1484.9808382203166
L380.10,436.31142168860504
L380.11,410.10304382797887
L380.12,731.9929090811594
L380.13,636.8323860236169
L380.14,2529.3630724536174
L380.2,229.7926306814235
L380.3,72.28852061661892
L380.4,117.32172021920644
L380.5,1817.2795798212244
L380.6,1887.1816256084921
L380.7,346.79138611325766
L380.8,136.2264320671025
L380.9,3056.6060234243714
