type,code,lake,latitude,longitude
Sediment,32478,Lake Opouahi,-39.14663,176.83618
Sediment,45819,Lake Wainamu,-36.890121,174.46833
Sediment,48673,Lake Sarah,-43.0487,171.776777
Sediment,38974,Lake Brunner,-42.608367,171.450018
Sediment,48597,Lake Lyndon,-43.306888,171.69318
Sediment,48456,Lake Catherine,-43.221,171.55963
Sediment,47892,Lake Heron,-43.48787,171.16637
Sediment,52566,Lake Te Anau,-45.21097679,167.7311676
Sediment,54672,Lake Wanaka,-44.52587905,169.112152
Sediment,53532,Lake Wakatipu,-45.03188019,168.6959478
Sediment,54736,Lake Hawea,-44.47347559,169.3169946
Sediment,229,Lake Pounui,-41.344251,175.115342
Sediment,301,Bartons Lagoon,-41.16978303,175.3135285
Sediment,511,Matthews Lagoon,-41.260467,175.268883
Sediment,841,Lake Waiorongomai,-40.71183,175.14255
Sediment,1744,Lake Rototawai,-41.2151,175.345967
Sediment,4509,Karere Lagoon,-40.403133,175.528067
Sediment,13437,Lake William,-40.122512,175.310019
Sediment,13456,Lake Alice,-40.134222,175.332285
Sediment,13736,Lake Rotokotuku,-38.3671031,175.2140534
Sediment,14071,Lake Tutaeinanga,-38.3329351,176.3223738
Sediment,14179,Lake Ngapouri,-38.3386535,176.3359105
Sediment,14208,Lake Ngahewa,-38.3152339,176.3737858
Sediment,14405,Lake Mangahware,-37.9336765,175.2200466
Sediment,14407,Lake Ngarotoiti,-37.943362,175.2963695
Sediment,15007,Lake Koromatua,-37.837734,175.223583
Sediment,15022,Lake Rotoroa,-37.7994589,175.2762498
Sediment,16901,Lake Koitiata,-40.11826,175.196624
Sediment,17286,Lake Oporoa,-39.751484,175.867954
Sediment,24422,Lake Rotokawau(Karikari),-34.87002263,173.3064349
Sediment,24434,Lake Waitahora,-34.45466,172.81425
Sediment,28942,Lake Mike,-45.8255,166.9012
Sediment,29104,Lake Jaquiery,-45.83387,167.24156
Sediment,29541,Lake Jane,-45.7125,167.1106
Sediment,29568,Lake Ursula,-45.70024,167.12827
Sediment,29644,Lake Story,-45.74159,167.17189
Sediment,29956,Shallow Lake,-45.71217109,167.3371098
Sediment,30812,Big Lagoon,-46.354037,168.176776
Sediment,32805,Lake Hatuma,-40.018480340000004,176.527928
Sediment,34599,Lake 34599,-39.6476587,176.964018
Sediment,34665,Lake Whakaki,-39.04576174,177.5570203
Sediment,35422,Lake Horseshoe,-39.920142,176.761112
Sediment,36343,Lake 36343,-39.6511853,176.9602535
Sediment,36741,Lake Kaweka 2,-39.36310208,176.3657607
Sediment,36742,Lake Kaweka 1,-39.36146425,176.3632074
Sediment,36979,Lake Orakai,-39.23633,176.88832
Sediment,37529,Lake Rotongaio,-38.94369,177.01193
Sediment,38502,Lake Kaniere,-42.842517,171.147533
Sediment,40521,Lake Rotokaha,-38.774952999999996,177.559606
Sediment,40534,Lake Karangata,-38.77461697,177.5404982
Sediment,40535,Lake Kaikiore,-38.76858452,177.5409204
Sediment,40554,Lake Kaikereru,-38.75535417,177.5494042
