ID,Lake,Region,Latitude,Longitude,Monitored TLI3,Monitored Trophic State,Single TLI3,Singe TLI3 Trophic State,SBTI,Confidence Interval,SBTI Trophic State
29568,Lake Ursula,Southland,-45.70024,167.12827,,,2.51,Oligotrophic,2.25,0.25,Oligotrophic
29596,Lake Roe,Southland,-45.70735,167.15235,,,2.23,Oligotrophic,1.93,0.32,Microtrophic
29614,Lake Bright,Southland,-45.6918,167.1429,,,1.26,Microtrophic,2.35,0.23,Oligotrophic
29917,Lake Pyramid,Southland,-45.74852,167.36458,,,2.72,Oligotrophic,1.93,0.32,Microtrophic
29956,Shallow Lake,Southland,-45.71217109,167.3371098,,,2.29,Oligotrophic,3.60,0.15,Mesotrophic
30380,Lake Rakatu,Southland,-45.626233,167.592766,,,2.98,Oligotrophic,3.05,0.19,Mesotrophic
30812,Big Lagoon,Southland,-46.354037,168.176776,,,6.52,Hypertrophic,3.56,0.15,Mesotrophic
32805,Lake Hatuma,Hawkes Bay,-40.01848034,176.527928,,,5.67,Supertrophic,6.06,0.27,Hypertrophic
34599,Lake 34599,Hawkes Bay,-39.6476587,176.964018,,,6.55,Hypertrophic,5.21,0.16,Supertrophic
34665,Lake Whakaki,Hawke's Bay,-39.04576174,177.5570203,,,7.16,Hypertrophic,6.47,0.40,Hypertrophic
35422,Lake Horseshoe ,Hawkes Bay,-39.920142,176.761112,,,5.02,Supertrophic,4.35,0.15,Eutrophic
36285,Lake Hurimoana,Hawke's Bay,-39.55341,176.7196,,,5.10,Supertrophic,5.86,0.23,Supertrophic
36314,Lake Kautuku,Hawke's Bay,-39.5713,176.73385,,,5.54,Supertrophic,5.89,0.23,Supertrophic
36343,Lake 36343,Hawkes Bay,-39.6511853,176.9602535,,,5.90,Supertrophic,5.59,0.20,Supertrophic
36741,Lake Kaweka 2,Hawkes Bay,-39.36310208,176.3657607,,,3.66,Mesotrophic,3.12,0.23,Mesotrophic
36742,Lake Kaweka 1,Hawkes Bay,-39.36146425,176.3632074,,,3.54,Mesotrophic,3.83,0.18,Mesotrophic
36979,Lake Orakai,Hawke's Bay,-39.23633,176.88832,,,6.44,Hypertrophic,5.50,0.18,Supertrophic
37529,Lake Rotongaio,Hawke's Bay,-38.94369,177.01193,,,4.09,Eutrophic,4.95,0.19,Eutrophic
37530,Lake Rotoroa,Hawke's Bay,-38.94735,177.02917,,,4.57,Eutrophic,4.52,0.17,Eutrophic
37534,Lake Rotonuiaha,Hawke's Bay,-38.94828,177.03864,,,4.01,Eutrophic,5.30,0.21,Supertrophic
38421,Lake Mahinapua,West Coast,-42.797423,170.911996,,,3.50,Mesotrophic,2.79,0.21,Oligotrophic
38664,Lake Kangaroo,West Coast,-42.609279,171.548966,,,3.58,Mesotrophic,2.98,0.23,Oligotrophic
38665,Lake Lady,West Coast,-42.599533,171.573715,,,3.00,Mesotrophic,3.53,0.21,Mesotrophic
39050,Lake Kaurapataka,West Coast,-42.786072,171.698698,,,3.27,Mesotrophic,3.80,0.17,Mesotrophic
39191,Lake Morgan,West Coast,-42.676748,171.707152,,,1.64,Microtrophic,2.37,0.21,Oligotrophic
39297,Lake Mason,Canterbury,-42.7348972,172.17134,,,3.10,Mesotrophic,3.42,0.21,Mesotrophic
39357,Lake Sheppard,Canterbury,-42.8576456,172.8306056,,,3.98,Mesotrophic,3.79,0.18,Mesotrophic
39367,Lake Marion,Canterbury,-42.677912,172.2321582,,,3.37,Mesotrophic,4.05,0.16,Eutrophic
39621,Lake Hochstetter ,West Coast,-42.445958,171.670571,,,3.31,Mesotrophic,2.73,0.23,Oligotrophic
40521,Lake Rotokaha,Hawkes Bay,-38.774953,177.559606,,,5.77,Supertrophic,5.30,0.21,Supertrophic
40534,Lake Karangata ,Hawkes Bay,-38.77461697,177.5404982,,,6.05,Hypertrophic,5.33,0.21,Supertrophic
40535,Lake Kaikiore,Hawkes Bay,-38.76858452,177.5409204,,,7.12,Hypertrophic,5.38,0.21,Supertrophic
40554,Lake Kaikereru,Hawkes Bay,-38.75535417,177.5494042,,,5.52,Supertrophic,5.11,0.18,Supertrophic
40590,Lake Waihau,Hawkes Bay,-38.75513635,177.5546657,,,5.42,Supertrophic,5.82,0.21,Supertrophic
41679,Lake Eggeling,West Coast,-43.98569205,169.1452089,,,1.55,Microtrophic,3.79,0.14,Mesotrophic
44747,Lake Tomohawke 1 Lower,Otago,-45.60371521,170.6730616,,,5.41,Supertrophic,6.33,0.40,Hypertrophic
45434,Lake 45434,Canterbury,-44.284887,169.748105,,,2.10,Oligotrophic,2.53,0.20,Oligotrophic
