Lake,Code,Region,Date.Survey,Month.Sampled,Date.Rep.Survey,Latitude,Longitude,East_NZMG,North_NZMG,PRIMARY FENZ class ,GEOMORPHIC Class,MaxDepth,LakeArea,LakeVolume,lkElev,FENZ SumPress1A,FENZ SumPress1B,RegionalRa,Regional rank,National Rank,NationalCu,Natural_cover,Urban,Pasture,Landuse_Pressure,Impervious,InvasivePlants,InvasiveFish,DamEffectUpstream,DamEffectDownstream,DecTemp,DecSolrad,Fetch,SumWind,catBeech,catGlacial,catHard,catPeat,catPhos,catSlope,catAnnTemp,DirectDistCoast,ResidenceTime,MeanWind,Catch.flow,catJuneSolRad,catCalc,catPsize,catAlluv,Alpine.Grass,Indi.Hard,Built.up,Decid.Hard,Dep.Grass,Dune.Shrub,Estu.Wat,Exot.For,Fernland,Flaxland,For.Harv,Gorse,Gravel,Herb.FW.Veg,Herb.Sal.Veg,High.Prod.Exotic.Grass,Indi.For,Landslide,Low.Prod.Grass,Manuka,Matagouri,Mixed.Exo.Shrub,Orchard,Peat.Shrub,Per.Snow,River,Sand,Short.rot.Crop,Sub.Alp.Shrub,Mine,Tussock,Trans.Infra,Parkland,Max.Depth,Sampling.Depth ,Secchi.Disk,Thermocline,Altitude,Zooplankton.Net.Depth,Zooplankton.filtered,Phytoplankton.net.depth,Phytoplankton.filtered,WCS.Bul.TN,WCS.Bul.Nitrite,WCS.Bul.Nitrate,WCS.Bul.TKN,WCS.Bul.TP,WCS.Bul.TSS,WCS.Bul.VSS,WCS.DOC,WCS.TOC,WCS.DIN.Nitrite,WCS.DIN.Nitrate,WCS.DIN.Ammonia,WCS.DIN.DRP,WCS.Arsenic,WCS.Cadmium,WCS.Chromium,WCS.Copper,WCS.Lead,WCS.Mercury,WCS.Nickel,WCS.Zinc,WCS.Chla,BS.Bul.TN,BS.Bul.Nitrite,BS.Bul.Nitrate,BS.Bul.TKN,BS.Bul.TP,BS.Bul.TSS,BS.Bul.VSS,BS.DOC,BS.TOC,BS.DIN.Nitrite,BS.DIN.Nitrate,BS.DIN.Ammonia,BS.DIN.DRP,BS.Arsenic,BS.Cadmium,BS.Chromium,BS.Copper,BS.Lead,BS.Mercury,BS.Nickel,BS.Zinc,Data.Quality,TLI3,TL-P,TL-N,TL-Chl-a,Median-TP,Median-TN,Median-Chl-a,Chla-95,Bloom,Shallow/Deep,Monitored.Month.TN,Monitored.Month.TP,Monitored.Month.Chla,Days.Different,PW.DRP.concentration.DL,PW.TP,Ex.P.PW,PF.NH4Cl.P,PF.BD.P,PF.NaOH.rP,PF.Org.P,PF.HCl.P,PF.Res.P,PF.Total.P,PF.NH4Cl.P%,PF.BD.P%,PF.NaOH.rP%,PF.Org.P%,PF.HCl.P%,PF.Res.P%,Pot.Mob.P.SL,Pot.Mob.AL,Pot.Mob.AL.Org.P,EPC,AR.P.DW,AR.N.DW,AR.P,AR.N,Sys.for.Densities,Tot.BD.sedm.PW.g.cm3,Tot.BD.sedm.PW.kg.m3,DryBD.DW.g.cm3,DryBD.DW.,PW.density.g.cm3,PW.density.,AM.sedm.PW.g.cm2,AM.sedm.PW.kg.m2,AM.DW.g.cm2,AM.DW.kg.m2,AM.PW.g.cm2,AM.PW.kg.m2,Tot.PW,BulS.Ash,BulS.OM,BulS.Carbonates,BulS.TOC,BulS.TN,BulS.Iron,BulS.Manganese,BulS.Aluminium,BulS.Calcium,BulS.Lead,BulS.Copper,BulS.Cadmium,BulS.Zinc,BulS.Phosphorus,BulS.Sulfur,GS..63,GS.63.2mm,GS..2mm,TRR.Mn.Fe,TRR.TOC.TP,TRR.Al.Fe,TRR.AL.P,TRR.Fe.P,TN:TP,RSE.NaOH.Al.BD.Fe,RSE.NaOH.rP.BD.P,RSE.BD.Fe.TOC,RSE.TOC.Res.P,SI.d15N,SI.d13C,SI.C:N,BD.Fe.molar,NaOH.Al,Sieve0.05,Sieve0.06,Sieve0.12,Sieve0.24,Sieve0.49,Sieve0.98,Sieve2,Sieve3.9,Sieve7.8,Sieve15.6,Sieve31,Sieve37,Sieve44,Sieve53,Sieve63,Sieve74,Sieve88,Sieve105,Sieve125,Sieve149,Sieve177,Sieve210,Sieve250,Sieve300,Sieve350,Sieve420,Sieve500,Sieve590,Sieve710,Sieve840,Sieve1000,Sieve1190,Sieve1410,Sieve1680,Sieve2000,Sieve2380,Sieve2830,Sieve3360,Dx (10),Dx (50),Dx (90)
Lake Otuhie,25519,Tasman,26/10/2018,October,,-40.68641667,172.4186667,2460759,6057768,A,L,9.1,84.7,2566636,4.75,0.839,0.839,26,33.037,807,14.316,0.9921,0,1.29,81.02,0,0,0,0,0,17.02,2267.1,1764,4.48,17.72,0,3.89,1.74E-05,2.23,11.88,11.76,1348.09,29.37664496,4.322550058,31890032.6,588.02,1.16,3.96,2.57E-06,0,0.11864137,0,0,0,0,0,0,0,0.227231197,0,0,0,1.186241776,0,1.261889312,46.26366261,0,2.9921302,47.95020354,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1.1,0.97,????,5,,50,,50,0.88,0.0039,<0.002,0.88,0.022,12,4.33,12.4,13.4,0.0046,<0.002,0.006,<0.002,0.0008,0.00004,0.0003,0.0026,0.0027,<0.0001,0.0017,0.017,0.0051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,0.6,, , , , , , ,783,,,,,,,,,,0.0161, , , , ,C,1.207,1207,0.163,162.8,1.044,1044,24131,24.1,3256,3.256,20875,20.9,86.5,81.9,18.1,3.6,7.6,0.45,30800,146,9390,1630,15.6,22.4,0.83,173,681,2740,69.5,30.5,0,0.0048,287.8,0.63,15.83,25.09,6.61, ,, , ,,,, , ,0,0,0,0,0,1.62,4.73,11.2,22.9,38.06,54.09,58.13,61.99,65.99,69.5,72.55,75.57,78.29,80.66,82.7,84.42,85.93,87.32,88.77,90.05,91.74,93.54,95.35,97.26,98.68,99.61,99.96,100,100,100,100,100,100,3.55,26,348
Lake Kaihoka 1,25789,Tasman,24/10/2018,October,,-40.55388333,172.5987,2475887,6072437,A,B,15.99,5.3,281261,52.35,0.916,0.916,5,1.954,844,14.443,0.9491,0,29.01,1.31,8025.3031,0,0,0,0,16.93,2369.84,400,5.4,0,0,4,0,1.55,5.91,12.71,715.95,230.1224569,5.347254038,446110.816,591,1.33,3.63,0.0033196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.1341158,0,42.8658842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,12.7,4,,52,12,,12,,0.32,<0.001,<0.002,0.32,0.018,4,<3,4.3,4.8,<0.001,<0.002,<0.005,<0.002,<0.0005,0.00002,<0.0002,0.0051,0.0075,<0.0001,0.0005,0.019,0.0029,0.22,0.0012,0.0038,0.21,0.013,3,<3,3.7,4.5,0.0011,<0.002,<0.005,<0.002,<0.0005,<0.00001,<0.0002,0.0006,0.0003,<0.0001,<0.0002,0.0057,,,,,,,,,,,,,,,,0.009,1.45,0.867,0.8199,165.1,717.1,688.1,57.36,227,1856,0.047,8.9,38.6,37.1,3.09,12.2,1571,854,166, ,5.53,37.06,20.6,138.16,C,1.162,1162,0.186,186.4,0.976,976,23244,23.2,3728,3.728,19517,19.5,84,87.1,12.9,3.9,8.9,0.8,37200,234,23100,3510,15.3,15.6,0.16,73.9,1500,4850,40.53,59.47,0,0.0064,153,1.29,17.68,13.76,5.33,6.85,4.34,0.006,1011.1,,,,0.048,0.325496871,0,0,0,0,0,0.6,1.95,4.9,10.16,17.38,26.85,29.89,33.12,36.87,40.53,44,47.68,51.26,54.56,57.58,60.25,62.7,65.08,67.64,70.03,73.44,77.32,81.54,86.59,91,94.88,97.69,99.4,100,100,100,100,100,7.66,98.5,808
Lake Kaihoka 2,25790,Tasman,24/10/2018,October,,-40.55473333,172.6022,2476321,6072297,A,B,11.5,6.8,259070,37.47,0.869,0.869,11,5.773,1359,40.781,0.8941,0,33.6,0.72,100.0415,0,0,0,0,17.06,2360.24,410,5.4,0,0,4,0,1.28,4.71,12.75,787.3,415.8043996,5.348799944,227416.288,591,1.14,3.71,0.00395121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.80136465,0,51.19863535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,13.5,2.8,3.7,38,11,,11,,0.31,<0.001,0.012,0.3,0.03,6,<3,5,5.2,0.0011,0.019,0.016,<0.002,<0.0005,<0.00001,0.0033,0.0004,0.00008,<0.0001,0.0002,0.0056,0.0018,0.45,0.0094,0.043,0.4,0.02,<3,<3,5.1,4.7,0.0053,0.044,0.1,<0.002,<0.0005,<0.00001,<0.0002,0.0007,0.0002,<0.0001,0.0002,0.0086,,,,,,,,,,,,,,,,0.009,0.96,0.2117,0.152519206,138.9,1197.05926,767.5,14.93,200,2319,0.009,6,51.6,33.1,0.64,8.6,2104,907,139, ,10.15,60.62,29.03,173.46,C,1.084,1084,0.143,143.1,0.94,940,21670,21.7,2861,2.861,18809,18.8,86.8,81.9,18.1,4.7,12.2,1,30700,151,28400,2540,18,18.6,0.14,53.9,1930,3410,47.24,52.76,0,0.005,163,1.91,16.89,8.82,5.18,8.81,8.62,0.006,1573.1,,,,0.064,0.560081403,0,0,0,0,0,0.62,2.16,5.5,11.67,20.76,32.46,35.89,39.41,43.38,47.24,50.94,54.97,59.01,62.84,66.39,69.58,72.48,75.22,78.05,80.52,83.69,86.95,90.19,93.64,96.35,98.4,99.59,99.98,100,100,100,100,100,6.66,71,584
Mata Kopae Lagoon,25972,Canterbury,16/11/2019,November,,-42.78007,173.26974,2531807,5825232,B,D,18.44,16.1,990854,39.87,0.303,0.303,139,97.802,2673,94.069,0.3124,0,89.98,0.77,257.7131,0,0,0,0,17.12,2367.58,800,5.33,0,0,2,0,3.02,2.35,12,7368.58,969.0063474,4.923433542,373229.44,526.704724,2,1,3.02816916,0,0,0,0,0,0,0,2.881979938,0,0,0,0,0,0,0,97.11802006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,,1.2,,70,,50,,50,1.7,0.0012,<0.002,1.69,1.17,8,3.5,20,22.1,0.0018,<0.002,<0.005,0.795,0.0021,0.000011,0.00027,0.00092,0.00011,<0.00008,0.0011,0.01,0.0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , , , ,,,,,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , ,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Horsehoe,26277,Canterbury,15/11/2020,November,,-42.6780261,172.2321277,2470764,5845410,F,R,17.75,4.3,255327,456.65,0.394,0.394,113,27.158,2035,77.872,0.4015,0,0,0.24,13909.29,0,0,0,0,15.21,2447.77,310,2.71,0,0,3.27,0,3.36,16.71,9.32,63099.54,641.4337575,2.619500041,145290.976,529.975,1,3.63888884,26.2068958,0,0,0,1.229631429,0,0,0,5.906452023,0,0,0,1.643652639,0,0,0,9.81941505,2.695474679,0,68.16518058,10.5401936,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,,0.95,,691,8,,8,,1.3,<0.001,<0.002,1.32,0.083,23,22.3,4.1,5.7,0.0027,2.33,<0.005,<0.002,0.0011,0.00045,0.00041,0.0038,0.00057,<0.00008,0.001,0.041,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , , , , ,,,,,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , ,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Tennyson,26477,Canterbury,,,,-42.20188363,172.7289497,2487626,5889627,E,G,31.976851,232.5,24785662,1075.85,0.916,0.916,33,30.015,468,8.715,0.9925,0,0,10.63,0,0,0,0,0,11.69,2198.9,3009,3.46,0.91,0,3.73,0,3.17,24.85,4.76,71272.23,185.0412207,3.717753291,48890548.22,551.2383781,1.04400444,3.822882175,15.8897419,0,0,0,0,0,0,0,0,0,0,0,0,35.55874131,0.100492725,0,0,1.829055223,0.608142749,5.042107956,0,1.616572608,0,0,0,0,0,0,0,4.944213944,0,50.30067348,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Rotoroa,26887,West Coast,,,,-41.86297591,172.6438576,2480437,5927243,D,G,135.9025258,2361.5,1069766426,420.71,0.875,0.436,107,53.537,1856,72.058,0.9951,0,0.06,38.38,0,337.3333,17,0,0,14.11,2219.2,13833,3.72,51.18,0,3.86,0,3.19,25.17,6.32,62479.58,683.7094925,3.235747099,571097350.1,549.17,1.33,4.09,1.89E-06,2.815604734,0.018882936,0,0,0,0,0,0.100067838,0.127683493,0,0,0,18.53567123,0.064434014,0,0.154287521,57.56333866,0.026942881,0.241156335,0.06951536,0,0,0,0,0,0.120574541,0,0,1.797077385,0,18.36476308,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake McRae,27286,Canterbury,21/11/2020,November,,-42.1834685,173.3315873,2537269,5891421,E,G,41.62,65.8,9123657,883.47,0.788,0.59,39,36.218,1401,40.925,0.8116,0,0,0.77,0,0,17,0,0,13.06,2376.8,1458,2.71,0,0,3.64,0,3.15,23.23,6.47,34540,776.9559786,3.165828109,4286130.94,554.308116,1.11060607,3.5818181,13.9863606,0,0,0,0,10.14155433,0,0,0,0,0,0,0,18.43898268,0,0,0,0,0,34.01594038,4.445937892,0,0,0,0,0,0,0,0,0.282376952,0,32.67520776,0,0,42,,5.8,,893,20,,20,,0.25,<0.001,<0.002,0.25,0.012,<3,<3,0.81,<0.5,0.0013,0.0141,<0.005,<0.002,0.0011,<0.00002,<0.0002,0.0045,<0.00005,<0.00008,0.00051,0.0034,0.0006,0.21,<0.001,<0.002,0.21,0.011,<3,<3,0.77,<0.5,0.0011,0.0174,<0.005,<0.002,0.0011,<0.00002,<0.0002,0.00092,<0.00005,<0.00008,<0.0002,0.0041,,,,,,,,,,,,,,,, , , , , , , , , ,,,,,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , ,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Rotoiti,27762,West Coast,08/05/2021,May,,-41.829968,172.833921,2496210,5930959,E,G,40.48,964.4,130135585,595.53,0.861,0.429,88,24.298,154,1.589,0.9935,0.12,2.11,51.71,121.5751,337.3333,17,0,0,13.78,2216.77,6435,3.55,40.73,0,3.8,0,3.07,25.54,5.92,60006.24,251.8076433,3.007327318,1.89E+08,558.08,1.01,3.87,6.90E-06,7.30912078,0.017645159,0.170457196,0,0,0,0,0.010357943,0.07175548,0,0,0.007441959,19.60854339,0.35494338,0,0.270143893,48.5511399,0.359731102,2.406953106,2.03376425,0,0,0,0,0,0,0,0,1.137756622,0,17.66897244,0,0.021273402,,,,,595.53,,,,,<0.1,<0.1,<0.001,<0.002,<0.005,<3,<3,9.8,<0.5,0.0044,0.0175,<0.005,<0.002,<0.0005,<0.00002,<0.0002,0.00036,0.00023,<0.00008,<0.0002,0.0093,0.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,1.19,0.106,0.0925,173.9,644.7,781.2,243.4,180,2023,0.005,8.6,31.9,38.6,12.03,8.9,1600,955,174,,,,,,P,3.003,3003,0.685,685.1,2.317,2317,60051,60.1,13701,13.701,46350,46.3,77.2,93.2,6.8,4.2,2.7,0.28,42900,1530,22600,3790,50.8,41.1,0.15,138,1280,800,94.3,5.7,0,0.0363,54.4,1.09,20.27,18.59,2.19,,,,,,,,,,0,0,0,0,0.07,7.27,18.36,35.95,57.37,75.8,88.91,90.95,92.44,93.57,94.3,94.86,95.37,95.86,96.3,96.69,97.02,97.32,97.65,98.04,98.42,98.88,99.3,99.63,99.87,99.99,100,100,100,100,100,100,100,100,1.18,6.12,33.9
Lake Elterwater,27936,,,,,-41.7991667,174.1541667,2605904,5933385,A,R,12.19747329,51.1,2078985,32.57,0.304,0.304,55,99.387,2204,82.189,0.311,0,90.59,0.39,1341.5631,0,0,0,0,17.05,2393.81,1960,6.72,0,0,3.41,0,3.02,4.12,12.52,3438.34,1652.431393,6.230395794,60.71,459220.064,2.34,3.63,0.000250711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Mike,28942,Southland,01/02/2019,February,,-45.8255,166.9012,2035895,5469199,G,G,43.31,47.4,6849086,486.5,0.901,0.901,132,32.586,441,8.598,0.9953,0,0,19.4,0,0,0,0,0,11.29,1923.38,1734,5.61,59.44,0,4.94,0,0.98,24.3,6.27,6102.76,54.4705148,5.740765095,45894856.7,364.437965,0.9893899,4.94694948,NA,6.777540399,0,0,0,0,0,0,0,0,0,0,0,1.241749813,0,0,0,45.43537614,0,0,0,0,0,0,0,0,0,0,0,1.386999187,0,45.15833446,0,0,37,,2.77,15,487,18,,18,,<0.1,<0.001,<0.002,<0.1,0.017,<3,<3,4,4.3,<0.001,0.0021,0.012,<0.002,<0.0005,0.00002,<0.0002,0.0006,0.0004,<0.0001,<0.0002,0.049,<0.0006,<0.1,<0.001,0.0055,<0.1,0.049,4,3,3.4,3.4,<0.001,0.0084,0.011,<0.002,<0.0005,<0.00001,<0.0002,0.0003,0.00006,<0.0001,<0.0002,0.0026,,,,,,,,,,,,,,,, ,,,0.1749,62.78,441.5,510.5,17.04,400,1432,0,4.4,30.8,35.7,1.19,27.9,1015,573,63, , , , , ,P,1.857,1857,0.145,145.3,1.712,1712,37141,37.1,2907,2.907,34234,34.2,92.2,55.2,44.8,2.6,18.8,1.1,125000,8250,17800,3230,26.2,7.3,0.22,39.4,1030,2200, , , ,0.0671,470.7,0.29,19.84,67.31,10.68,0.32,7.03,0.07,1212,,,,1.1,0.352839139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Hay,29073,Southland,01/02/2019,February,,-45.80654863,167.0479568,2047630,5472315,G,G,34.38,26.5,3040254,704.37,0.953,0.953,141,70.074,478,8.797,0.9953,0,0,2.08,0.0323,0,0,0,0,10.2,1881.55,1064,5.61,17.54,0,4.64,0,0.92,23.06,5.84,10821.33,67.58606562,5.867391825,16418952.2,367.757143,0.9285714,4.64285708,NA,2.909342377,0,0,0,0,0,0,0,0,0,0,0,0,1.554927828,0,0,59.78688272,0,0,0,0,0,0,0,0,0,0,0,5.143811554,0,30.60503552,0,0,41,,3.7,4.2,704,25,,25,,<0.1,<0.001,0.0024,<0.1,0.042,<3,<3,3.6,3.7,<0.001,0.017,0.014,<0.002,<0.0005,<0.00001,<0.0002,0.0006,0.0002,<0.0001,<0.0002,0.013,<0.0006,<0.1,<0.001,0.0062,<0.1,0.049,<3,<3,2.9,3,<0.001,0.0077,0.005,<0.002,<0.0005,0.00001,<0.0002,0.0004,0.00006,<0.0001,<0.0002,0.0065,,,,,,,,,,,,,,,,0.002,<0.01,0.2038,0.185344498,78.61,247.9,511.6,18.06,456,1312,0.016,6,18.9,39,1.38,34.7,838,590,79, ,0.6,17.65,0.96,28.04,C,0.811,811,0.079,79.4,0.732,732,16227,16.2,1588,1.588,14639,14.6,90.2,67.4,32.7,No results,12.2,0.71,159000,85453.487,21000,4210,15.7,27.7,0.74,101,846,1310,32.72,66.94,0.34,0.5463,371.9,0.27,28.5,104.24,8.39,0.35,3.15,0.152,689.9,,,,1.542,0.542588345,0,0,0,0,0,0.16,0.79,1.83,4.13,8.83,17.01,20.06,23.55,27.96,32.72,37.65,43.43,49.69,56.05,62.49,68.68,74.56,79.99,84.93,88.39,91.44,93.57,95.05,96.25,97.15,97.92,98.56,99.04,99.4,99.66,99.84,99.96,100,17.6,106,383
Lake Jaquiery,29104,Southland,05/02/2019,February,,-45.83387,167.24156,2062824,5470267,G,G,27.41,10.4,952418,689.17,0.898,0.898,189,10.386,938,15.768,0.9953,0,0,21.25,238.8401,0,0,0,0,10.65,1892.26,495,5.27,33.64,0,5,0,1,28.67,5,23819.57,14.88507389,5.466012955,23354462.2,374.370588,1,5,6.99141407,13.20173649,0,0,0,0,0,0,0,0,0,0,0,1.285710837,0,0,0,20.58376993,0.247707805,0,0,0,0,0,0,0,0,0,0,2.822740912,0,61.85833402,0,0,4.8,4.5,4,3.2,689,3.5,,3.5,,<0.1,<0.001,<0.002,<0.1,0.02,<3,<3,2.8,3.2,<0.001,<0.002,<0.005,<0.002,<0.0005,<0.00001,<0.0002,0.0006,0.00006,<0.0001,<0.0002,0.0013,<0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.18,0.2554,0.224527135,22.8308373,177.4362735,572.9,32.74380089,200,1006,0.025,2.3,17.6,56.9,3.25,19.9,773,596,23,0.0053,3.44,35.79,12.75,132.79,P,2.094,2094,0.186,185.5,1.908,1908,41879,41.9,3711,3.711,38168,38.2,91.1,61.3,38.7,1.8,18.4,No results,22600,235,27500,5040,12.7,25,0.051,53.1,813,2300,35.15,64.85,0,0.0106,583.6,2.52,38.83,15.42,,9.31,7.77,0.004,2372.5,,,,0.063,0.589861859,0,0,0,0,0,0,0.38,1.49,4.22,10.23,20.17,23.42,26.9,30.99,35.15,39.27,43.94,48.83,53.69,58.51,63.09,67.49,71.77,76.06,79.51,83.34,86.8,89.89,92.99,95.45,97.46,98.85,99.69,100,100,100,100,100,15.3,109,594
Lake Island,29250,Southland,29/01/2019,January,,-45.778676,167.36506,2071971,5477101,E,G,31.01,41.8,4326328,715.18,0.964,0.964,209,11.174,994,16.178,0.9953,0,0,0.99,3989.8027,0,0,0,0,10.78,2164.14,969,4.62,100,0,4.85,0,0.97,13.37,6.3,30219.64,286.5065502,4.709318399,5511599.62,379.984436,0.97142857,4.85714293,32.1615028,0,0,0,0,0,0,0,0,0,0,0,0,0,1.973501318,0,0,97.13807152,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888427164,0,0,32,30,6.4,7,715,20,,20,,0.47,<0.001,<0.002,0.47,0.012,4,<3,1.4,1.3,<0.001,<0.002,<0.005,<0.002,<0.0005,<0.00001,<0.0002,0.0003,<0.00005,<0.0001,<0.0002,0.0079,<0.0006,<0.1,<0.001,<0.002,<0.1,0.02,<3,<3,0.89,<0.5,<0.001,<0.002,<0.005,<0.002,<0.0005,<0.00001,<0.0002,0.0002,<0.00005,<0.0001,<0.0002,0.0021,,,,,,,,,,,,,,,, ,,,1.527,1003,3280,385.5,955.6,350,5974,0,16.8,54.9,6.5,16,5.9,4669,1389,1003, , , , , ,P,1.159,1159,0.117,117.1,1.042,1042,23176,23.2,2342,2.342,20834,20.8,89.9,80.8,19.3,1.9,7.3,0.91,130000,5210,16200,6520,11.5,56.8,0.28,51.7,5430,1800, , , ,0.0407,34.7,0.26,3.42,13.28,1.68,0.04,3.27,0.15,537.9,,,,0.909,0.035631394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Jane,29541,Southland,06/02/2019,February,,-45.7125,167.1106,2051737,5483095,G,G,26.05,8.6,748513,855.73,0.966,0.966,289,82.745,1071,24.626,0.9953,0,0,0.8,41.6311,0,0,0,0,9.8,2031.84,450,5.64,99.99,0,4.85,0,0.97,21.79,5.05,9982.84,20.1224465,6.148129225,13577234.4,369.375839,0.97163123,4.8581562,NA,5.032261692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78880189,0,83.17893642,0,0,25.2,25,8,3.2,855,22,,22,,0.15,<0.001,<0.002,0.15,0.02,<3,<3,2.7,3,0.0034,15.6,0.046,<0.002,<0.0005,<0.00001,<0.0002,<0.0002,<0.00005,<0.0001,0.0002,0.0044,<0.0006,<0.1,<0.001,0.0092,<0.1,<0.005,<3,<3,1.4,1.7,<0.001,0.052,<0.005,<0.002,<0.0005,<0.00001,<0.0002,<0.0002,<0.00005,<0.0001,<0.0002,0.0012,,,,,,,,,,,,,,,, ,,,1.207,30.85,371.6,796.2,105.4,340,1644,0,1.9,22.6,48.4,6.41,20.7,1199,827,31, , , , , ,P,2.391,2391,0.216,216,2.175,2175,47821,47.8,4320,4.32,43501,43.5,91,56.9,43.1,2.9,17.4,1.5,60200,378,47500,10000,6.99,47.6,0.11,43,1370,2800, , , ,0.0064,327.5,1.63,39.8,24.37,10.95,3.02,12.05,0.025,1319.7,,,,0.368,1.112927005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Ursula,29568,Southland,02/02/2019,February,,-45.70024,167.12827,2052944,5484579,G,G,11.73,2.4,93273,1017.21,0.985,0.985,258,80.723,989,16.172,0.9953,0,0,0.05,132.4287,0,0,0,0,9,2116.28,280,5.6,9.03,0,5,0,1,7.9,5.07,11495.91,43.4262437,6.125133276,783967.296,370,1,5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,9.4,,5.1,,1018,5,,5,,<0.1,<0.002,<0.001,<0.1,0.031,<3,<3,2,1.9,<0.001,0.048,0.007,<0.002,<0.0005,0.00002,<0.0002,0.0009,0.0002,<0.0001,0.0004,0.0085,<0.001,<0.1,0.0055,<0.001,<0.1,0.02,<3,<3,1.6,1.8,<0.001,0.0095,<0.005,<0.002,<0.0005,<0.00001,<0.0002,<0.0002,<0.00005,<0.0001,<0.0002,0.0058,,,,,,,,,,,,,,,,0.002,0.11,0.3243,0.3014,20.79,213.3,906.6,99.83,95.9,1337,0.024,1.6,16,67.8,7.47,7.2,1141,928,21,0.0032,3,20.11,6.82,45.67,P,1.413,1413,0.114,113.6,1.3,1300,28264,28.3,2271,2.271,25993,26,92,56.3,43.7,No results,17.7,1.3,15000,52.2,28200,2470,18.2,13.5,0.068,23.7,970,2900,39.22,60.78,0,0.0035,470.6,3.89,33.37,8.58,13.4,9.81,10.26,0.004,4759.6,,,,0.058,0.566018272,0,0,0,0,0,0.06,0.74,2.54,6.13,12.57,22.66,25.93,29.54,34.1,39.22,44.79,51.7,59.53,67.56,75.39,82.28,88.04,92.38,95.54,97.23,98.29,98.83,99.16,99.47,99.73,99.92,100,100,100,100,100,100,100,12.4,84.5,226
