S,code,bul_s_tn,bul_s_phosphorus,high_prod_exotic_grass,low_prod_grass,latitude,altitude,lake_area,secchi_disk,wcs_chla,wcs_doc,max_depth,forestry,native,distance_to_road
2,18934,1.2362510149995394,2.234661741789901,1.0408528093738558,1.4842356119647109,0.4806803216542565,-0.5685763642795851,0.03246708756486623,0.4715889679822205,-0.43170900907182175,0.47804588580443974,0.6863769676577265,0.8931831066193311,-1.061702151534082,-1.4346681232425555
2,50403,1.4806941443619486,1.0696192852858912,0.7136449231131007,-0.4186457483878149,1.362722336545222,-0.7572977394942163,-0.11966578838056352,-0.3645940488721861,0.04503187222627365,1.2038970745609054,-0.30512751657913256,1.663537978731943,-0.30866886548687206,-0.19122116837108488
3,13467,1.4806941443619486,0.3668550721580815,0.6543188075615455,-0.0643269038048204,1.6460994853874875,-0.8331044161289908,0.8727792565240076,-0.11481406245255968,-0.10394965317938112,1.1506640372751282,-0.2378154587239122,1.681052808118497,-1.0480932400717464,-0.12946668739594394
4,36096,0.4589509300808636,0.9909265087942996,1.1879308526150312,-0.8084326938092439,0.589929770836074,-1.0048732947375183,0.7653583183536554,-1.6708234568848148,3.0743228888079215,1.1196494028377406,-1.1270804809872936,0.7600056059454444,-1.4432432767091972,-0.3014850627066111
1,43649,-0.4713985769803586,1.2400317958728768,0.9493962924484888,1.6538327356061768,-1.707639621515733,-1.0459543589828086,-0.11966578838056352,-0.06981615832233884,-0.46398833957638025,0.6295364129353611,-0.26414357336196664,0.8744836533309555,-1.4432432767091972,-1.3330120763076667
4,47579,-1.045655232688589,-0.19944739230687525,0.9906596041086536,1.2153710215251607,-0.68491584694756,-1.516176891550579,1.4426811908829025,-0.8875023815998646,-0.02945889047655373,-0.28387373068672334,-0.6385131285778777,1.2018820225028586,-0.10221163500918522,-0.10855861739205426
3,54742,-1.8864134020859888,-2.641896618221099,0.9899139304338508,0.8275964601629912,-1.7002838516659835,-1.7393847031121088,1.6631717144151046,-1.1551019758355836,-0.4863355683872285,1.0676682372195625,-1.5908718096579837,0.8582489293385476,-0.6009477062553255,0.31738024877160104
2,41293,-0.6279691151396108,-0.3675637393248712,0.5950152756923063,1.0468411842033831,-0.6401508794339448,0.956696425634889,-0.9580908408336292,-0.6022405918446361,-0.4466071616123872,-0.7961146877564116,-1.1612483009508656,-0.8815885164919353,0.1676841940554645,1.1723489929375346
3,36980,1.054790202105352,2.230169648642761,0.9470457392483668,-0.8084326938092439,0.6767942408764673,0.03857495989932114,-0.4945328257118251,-0.2592691223901622,0.5912974653803413,0.321226049332852,0.5341884714491321,1.33235958926485,0.2216415058265588,-0.8815084032496489
4,50345,1.147565246378225,0.5243249206863488,0.1458646049522939,0.7903526091641314,1.3798953604724205,-0.1678656903772023,-0.579544903902576,-0.875849575590087,1.4355261093457188,0.6187040880391326,-0.7446736787896169,1.7393832600066916,-1.4432432767091972,-0.4478547162995752
2,18719,1.4025537837534965,-0.9636555314692306,0.45560699902746943,1.6648792908213907,1.632080729766911,-0.6055200163568554,-0.20191289897701625,0.15441514373408877,-0.07415334809825017,0.9070005960879688,-0.8643626874662799,1.205820394636543,-1.4432432767091972,-1.1408207688355343
3,50269,1.2362510149995394,0.5642986950360144,0.9420572995834564,-0.34260594297131913,1.3197984773926017,-0.5596904000294761,0.18082643565029377,-0.8107166261585214,0.0946923806948253,0.6295364129353611,0.5123973877717296,1.453811806495971,0.09113941382403004,-0.7884046162913392
