code,bul_s_tn,bul_s_phosphorus,high_prod_exotic_grass,low_prod_grass,latitude,altitude,lake_area,secchi_disk,wcs_chla,wcs_doc,max_depth,forestry,native,distance_to_road
39225,0.89,1570,11.07550249,2.116432261,-42.567542,176,223.8,2.13,0.0058,8.2,18.5,1.891101001,77.952838396,695.5643991754695
50371,1,1450,14.4011727,0.988791011,-36.36910358,58,7.3,2.9,0.0074,4.5,7,49.386707413,19.037805323,1292.398611743676
40071,1.1,1160,68.66462978,0,-38.2920385,439,517,2.2,0.014,5.4,14,15.973007034,11.634193080000001,599.3768805411611
54190,0.59,1570,47.95429186,10.87269631,-44.97495332,334,273.8,4.8,0.017,1.7,33.2,5.918480839,20.894111177,463.8162588910264
12830,0.52,1830,66.37826737,0,-38.2115581,8,18.4,2.7,0.0017,4.1,9.3,0,25.377779037,2993.2281049444787
41306,0.73,1130,0,78.31563337,-43.615189,676,43.8,4.2,0.0057,3.5,20,1.477223738,3.564910536,393.6613917200672
11133,0.73,886,48.58537665,0.558474789,-38.0775,270,8047.9,2.4,0.002,3.6,25,18.491908929,20.733512764,3795.976387607795
50401,0.57,629,31.74140235,0.262505796,-36.32808333,51,139.6,6,0.0042,5.1,15,48.99483754,14.621853755,1050.1076491052029
21918,1.1,672,45.578812310000004,9.443464129,-35.81565,78,26.8,9.72,NA,5.8,15,19.02867008,25.949053478,327.50392496721076
32478,1.1,850,51.22855715,0,-39.14663,485,5.8,2,0.0092,3.4,18,0,48.771442857,329.09596387757085
50151,1.69,3290,0,0,-36.7802378,14,103.8,4.21,0.01,4.3,57,0,8.656429094,484.75771709701064
25748,0.82,1140,0,0,-40.64985088,14,15.3,1.68,0.0021,6.1,4.6,0,90.16197639,606.308989701134
50270,1,968,35.77263392,0.567728295,-36.51214,76,106.6,5.5,0.0039,5.3,26.1,23.36585434,40.293783448,410.781053179925
45819,0.55,813,3.509653222,0,-36.890121,36,15,1.6,0.0062,6.1,12.4,0,95.82926099000001,683.8559282225218
48660,0.62,1820,6.044774174,28.95042997,-43.10279,603,201.9,5.4,0.0016,2.3,17.5,0,41.263341357,978.3260082232188
48673,1.6,1180,7.40292e-4,69.60174332,-43.0487,575,22,4,7e-4,1.7,7,0,25.351958171999996,1280.619612579011
54730,1.09,3240,42.6530836,0.73440224,-38.0390247,270,3369.1,2.72,0.0079,2.7,126,23.353566492000002,22.983117978,556.2727923163739
38974,0.35,1230,18.13143858,1.58328387,-42.608367,93,4061,5.5,9e-4,0.5,120,1.156680003,75.83340261400001,3659.063015399407
38955,0.43,1190,30.1873706,0.666576789,-42.704272,95,212.7,3.9,0.015,3.1,6.9,0.328232757,66.86970870100001,666.8803501654284
47193,1.2,2960,4.877388502,89.46410096,-43.93682,711,645.7,7,9e-4,3,28,0.387181868,0.544553631,531.984179945357
48455,0.97,830,0,25.86134632,-43.254398,680,10,8.2,NA,0.25,11.4,0,24.923958081,232.5403642308609
15325,1.21,1780,23.74111753,0.030808596,-38.1719011,344,334.1,5.25,0.004,3,32.5,14.517121340000001,54.534361375,290.7828168314588
48217,0.96,700,0,34.10488573,-43.234831,580,17.6,3.1,0.0016,1.1,3.6,0,47.057920136999996,377.0357810067398
48597,0.62,2490,0,35.91461485,-43.306888,830,88.4,7,0.0013,1.4,18,0,42.735852711,448.04183744390207
15312,0.55,700,1.063892419,0,-38.1923753,414,144.2,5.6,0.0015,4.4,27,19.93934752,78.50754429,555.4906868941217
21926,0.91,910,67.48777743,0,-35.7986,91,29.7,8.2,8e-4,2.8,30,0.891783321,29.26837535,453.8244487903363
48456,1.8,1040,19.46014546,12.1029623,-43.221,667,18.4,4.3,3e-4,17.1,4.5,0,35.402977557999996,960.1146064604482
48663,0.61,2180,6.698352182,34.13243637,-43.062222,589,62.4,3.9,0.0015,0.25,14,0.050497379,34.336042376,269.06114957839407
48213,0.72,2130,0,43.87346382,-43.23944,569,65.4,7,7e-4,0.76,29.2,0,34.979757129,1737.9199328313814
47892,0.64,1900,9.123970769,22.07701722,-43.48787,692,694.5,7,0.0018,0.84,37,0.238781919,36.909893581,582.7245240307591
39364,0.37,890,5.943971906,17.6208664,-42.71833,170,77.9,4.8,0.0032,0.97,30,0,71.38505427700001,7355.476713170884
21917,1.1,746,50.58437192,8.19450863,-35.80788333,78,204.2,15.01,0.0011,2.1,38,14.85804548,26.363073969,638.466638490411
39356,0.74,2170,14.4237371,27.11091094,-42.7675,171,206.8,6,0.0016,0.74,32.6,0,53.409705034,1951.046273570049
54732,0.68,3270,24.36499636,0.515457694,-38.2066553,278,4115.4,7.9,9e-4,2.8,83,15.661564769,57.36208921600001,522.3708934532875
54735,0.41,1140,3.028455259,1.661627717,-45.51820344,141.64,14177.7,NA,7e-4,0.65,NA,0.42137361199999995,88.186646268,8577.708849046887
54731,0.6,2560,3.390334723,0.795280863,-38.1102249,302,1072.8,7.5,0.0012,2.1,78,10.35392071,85.299841271,1326.6348833153434
